Pergunta,RespostaCorreta,Alternativa2,Alternativa3,Alternativa4,Dificuldade
Qual orgão bombeia o sangue para o corpo?,Coração,Cérebro,Pancreas,Rim,F
As plantas realizam,Fotossíntese,Predação,Nado,Manuseio de elementos,F
O pólen produzido por abelhas é usado para...,alimentação,colorizar,estimular a fome em humanos,pintura,M
Quantos olhos tem uma borboleta?,Mais de 12 mil,2,200,Quase 8 mil,D
O pistilo é encontrado em...,flores,humanos,répteis,crustáceos,D
Qual nome do pigmento verde das plantas?,Clorofila,Verdila,Verdina,Coloria,F
Como as abelhas se comunicam?,Dançando,Vibrando,Emitindo ferômonios,Falando,D
Quantos metros um pinguim imperador consegue alcançar debaixo d'água,Quase 600m,Mais de 800m,Menos de 100m,Quase 300m,M
O que são anticorpos?,proteínas defensoras,vitaminas,organelas,bactérias,F
Qual é o hormônio que age em todo o corpo físico da mulher preparando-a para a gravidez?,progesterona,anêmona,testosterona,manjerona,M
Qual aranha mais mortal do mundo?,Aranha teia-de-funil,Aranha armadeira,Aranha matriz,Caranguejeira,D
Como baleias dormem?,Na vertical,No fundo mar,Na horizontal,Na superfíce,D
Qual o maior tamanho registrado da Lula colossal?,15m,20m,10m,5m,M
Qual maior predador carnívoro vivo?,Urso pardo,Elefante,Crocodilo,Leão,F
Quais os descendentes dos dinossauros?,Galinhas e patos,Jacarés e crocodilos,Leões e tigres,Cangurus e ursos,M